Odonimo,Specie,count,%,colore,larg
Via Corazza Filippo,Melia azedarach,30,100%,#194d30,0.2
Via Delle Croci,Ficus microcarpa,52,100%,#194d30,0.2
Via Giusti Giuseppe,Sophora japonica,127,96%,#194d30,0.8
Via Giusti Giuseppe,Cercis siliquastrum,3,2%,#2b5f41,0.8
Via Giusti Giuseppe,Citrus limon,1,1%,#98cba7,0.8
Via Giusti Giuseppe,,1,1%,#508363,0.8
Via Pignatelli Aragona,Ficus microcarpa,48,100%,#86b996,0.8
Via Principe Di Belmonte,Citrus × aurantium,52,53%,#86b996,0.8
Via Principe Di Belmonte,Acer negundo,45,45%,#86b996,0.8
Via Principe Di Belmonte,Vuoto,2,2%,#86b996,0.8
Via Rapisardi Mario,Sophora japonica,59,98%,,0.8
Via Rapisardi Mario,Pittosphorum,1,2%,,0.8
Via Rizzo Ammiraglio - A,Ficus microcarpa,52,93%,,0.8
Via Rizzo Ammiraglio - A,Ficus magnoloides,4,7%,,0.8
Via Rizzo Ammiraglio - B,Ficus microcarpa,45,75%,,
Via Rizzo Ammiraglio - B,Schinus molle,8,13%,,
Via Rizzo Ammiraglio - B,Ficus rubiginosa,3,5%,,
Via Rizzo Ammiraglio - B,Melia azadirach,2,3%,,
Via Rizzo Ammiraglio - B,Celtis australis,2,3%,,
Via Scoto Michele,Ficus microcarpa,28,100%,,
Viale Dei Picciotti - A,Ficus microcarpa,31,100%,,
Viale Dei Picciotti - B,Ficus microcarpa,33,97%,,
Viale Dei Picciotti - B,Ficus rubiginosa,1,3%,,
Viale Emilia,Ficus microcarpa,51,78%,,
Viale Emilia,Robinia pseudoacacia,5,8%,,
Viale Emilia,Brachychiton acerifolius ,3,5%,,
Viale Emilia,Sophora japonica,2,3%,,
Viale Emilia,Pinus halepensis,1,2%,,
Viale Emilia,Ficus benjamina,1,2%,,
Viale Emilia,Celtis australis,1,2%,,
Viale Emilia,Acer negundo,1,2%,,
Viale Galatea,Populus Nigra,32,67%,,
Viale Galatea,Platanus hybrida,16,33%,,
Viale Margherita di Savoia - A,Platanus X Acerifolia,49,65%,,
Viale Margherita di Savoia - A,Platanus Hybrida,26,35%,,
Viale Margherita di Savoia - B,Ficus Microcarpa,187,100%,,
Viale Michelangelo,Platanus Hybrida,171,90%,,
Viale Michelangelo,Celtis australis,8,4%,,
Viale Michelangelo,Tabebuia rosea,6,3%,,
Viale Michelangelo,Robinia pseudoacacia,1,1%,,
Viale Michelangelo,Pinus pinea,1,1%,,
Viale Michelangelo,Pinus halepensis,1,1%,,
Viale Michelangelo,Ceiba speciosa,1,1%,,
Viale Principe Umberto,Pinus halepensis,62,97%,,
Viale Principe Umberto,Pinus canariensis,1,2%,,
Viale Principe Umberto,NON ESISTE,1,2%,,
