Targa,Id,Odonimo,Codvia,Lunghezza,Data rilievo,Tecnico incaricato,ID Pianta,Specie,Sito Impianto,Lat,Log,h (m),Diametro (cm),Dist. sede stradale (m),Dist. marciapiede (m),CPC,Cod. lavorazione/elenco prezzi,Note,Cod. lavorazione - F2,Lavori - F2,Cod. lavorazione - F3,Lavori - F3,Cod. lavorazione - F4,Lavori - F4,Descrizione,Unità di misura,Prezzo Unitario,UPL,Quartiere,Circoscrizione,CO2 catturata (kg/anno),O2 prodotto (kg/anno)
AA000AA,ALB_001,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,001,Ficus microcarpa,Aiuola spartitraffico,38.147446,13.340715,12,47,1.3,,B,APL.026S,,,,,,,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,26.55,19.27
AA001AA,ALB_002,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,002,Ficus microcarpa,Aiuola spartitraffico,38.147420,13.340646,12,49,1.25,,B,APL.026S,,,,,,,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,26.77,19.42
AA002AA,ALB_003,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,003,Ficus microcarpa,Aiuola spartitraffico,38.147399,13.340588,12,42,1.4,,B,APL.026S,,,,,,,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,26.02,18.88
AA003AA,ALB_004,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,004,Ficus microcarpa,Aiuola spartitraffico,38.147377,13.340527,12,32,1.4,,B,APL.026S,,,,,,,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,24.94,18.1
AA004AA,ALB_005,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,005,Ficus microcarpa,Aiuola pedonale,38.147351,13.340474,12,52,1.3,0.6,B,APL.026S,,,,,,,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,27.09,19.66
AA005AA,ALB_006,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,006,Ficus microcarpa,Aiuola pedonale,38.147331,13.340413,12,34,1.3,0.6,B,APL.026S,,,,,,,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,25.16,18.25
AA006AA,ALB_007,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,007,Ficus microcarpa,Aiuola pedonale,38.147305,13.340343,12,39,1.3,0.6,B,APL.026S,,,,,,,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,25.69,18.64
AA007AA,ALB_008,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,008,Ficus microcarpa,Aiuola pedonale,38.147269,13.340256,12,42,1.3,0.6,B,APL.026S,,,,,,,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,26.02,18.88
AA008AA,ALB_009,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,009,Ficus microcarpa,Aiuola pedonale,38.147227,13.340180,12,42,1.3,0.6,B,APL.026S,,,,,,,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,26.02,18.88
AA009AA,ALB_010,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,010,Ficus microcarpa,Aiuola pedonale,38.147203,13.340091,12,39,1.3,0.6,B,APL.026S,,,,,,,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,25.69,18.64
