Odonimo,Sito Impianto,count,%,colore,larg
Via Pignatelli Aragona,Cercine,48,100%,#194d30,0.2
Via Delle Croci,Cercine,52,100%,#194d30,0.2
Viale Emilia,Cercine,39,60%,#194d30,0.8
Viale Emilia,Aiuola pedonale,20,31%,#2b5f41,0.8
Viale Emilia,Aiuola spartitraffico,4,6%,#98cba7,0.8
Viale Emilia,Cercine stradale,2,3%,#508363,0.8
