Targa,Id,Odonimo,Codvia,Lunghezza,Data rilievo,Tecnico incaricato,ID Pianta,Specie,Sito Impianto,Lat,Log,h (m),Diametro (cm),Dist. sede stradale (m),Dist. marciapiede (m),CPC,Cod. lavorazione/elenco prezzi,Note,Data lav. F1,Cod. lavorazione - F2,Lavori - F2,Prezzo F2,Data lav. F2,Cod. lavorazione - F3,Lavori - F3,Prezzo F3,Data lav. F3,Cod. lavorazione - F4,Lavori - F4,Prezzo F4,Data lav. F4,Descrizione,Unità di misura,Prezzo Unitario,UPL,Quartiere,Circoscrizione,CO2 catturata (kg/anno),O2 prodotto (kg/anno)
AI026AI,ALB_827,Viale Michelangelo,28160,2917,17/11/2025,Greehill,8286,Platanus × hispanica,,38.13737807,13.32118012,9.15,0.34,,,B,,,,,,,,,,,,,,,,,,,Cruillas,Cruillas - S.Giovanni Apostolo,VI,66.11,174.69
AI027AI,ALB_828,Viale Michelangelo,28160,2917,17/11/2025,Greehill,8317,Handroanthus heptaphyllus,,38.13751735,13.32124722,3.61,0.06,,,A,,,,,,,,,,,,,,,,,,,Cruillas,Cruillas - S.Giovanni Apostolo,VI,35.86,94.75
AI028AI,ALB_829,Viale Michelangelo,28160,2917,17/11/2025,Greehill,8265,Platanus × hispanica,,38.13740449,13.32128782,17.74,0.54,,,C,,,,,,,,,,,,,,,,,,,Cruillas,Cruillas - S.Giovanni Apostolo,VI,127.79,337.68
AI029AI,ALB_830,Viale Michelangelo,28160,2917,17/11/2025,Greehill,8335,,,38.13754299,13.32135925,3.5,0.03,,,B,,,,,,,,,,,,,,,,,,,Cruillas,Cruillas - S.Giovanni Apostolo,VI,9.62,25.4
AI030AI,ALB_831,Viale Michelangelo,28160,2917,17/11/2025,Greehill,8253,Platanus × hispanica,,38.13742989,13.32139684,17.89,0.55,,,C,,,,,,,,,,,,,,,,,,,Cruillas,Cruillas - S.Giovanni Apostolo,VI,156.03,412.3
AI031AI,ALB_832,Viale Michelangelo,28160,2917,17/11/2025,Greehill,8250,Platanus × hispanica,,38.13697462,13.31945093,19.2,0.66,,,A,,,,,,,,,,,,,,,,,,,Cruillas,Cruillas - S.Giovanni Apostolo,VI,200.42,529.63
AI032AI,ALB_833,Viale Michelangelo,28160,2917,17/11/2025,Greehill,8279,Platanus × hispanica,,38.13707421,13.31987703,15.5,0.45,,,C,,,,,,,,,,,,,,,,,,,Cruillas,Cruillas - S.Giovanni Apostolo,VI,114.73,303.19
AI033AI,ALB_834,Viale Michelangelo,28160,2917,17/11/2025,Greehill,8263,Platanus × hispanica,,38.13710058,13.31999309,16.1,0.37,,,C/D,,,,,,,,,,,,,,,,,,,Cruillas,Cruillas - S.Giovanni Apostolo,VI,86.74,229.21
AI034AI,ALB_835,Viale Michelangelo,28160,2917,17/11/2025,Greehill,8256,Ulmus minor,,38.13712557,13.32009382,9.65,0.63,,,A,,,,,,,,,,,,,,,,,,,Cruillas,Cruillas - S.Giovanni Apostolo,VI,246.41,651.14
AI035AI,ALB_836,Viale Michelangelo,28160,2917,17/11/2025,Greehill,8261,Pinus pinea,,38.13714831,13.3202007,11.72,0.64,,,A,,,,,,,,,,,,,,,,,,,Cruillas,Cruillas - S.Giovanni Apostolo,VI,174.83,461.99
AI036AI,ALB_837,Viale Michelangelo,28160,2917,17/11/2025,Greehill,8270,Platanus × hispanica,,38.13717543,13.32030925,13.34,0.35,,,C,,,,,,,,,,,,,,,,,,,Cruillas,Cruillas - S.Giovanni Apostolo,VI,81.54,215.48
AI037AI,ALB_838,Viale Michelangelo,28160,2917,17/11/2025,Greehill,8254,Platanus × hispanica,,38.13720019,13.32042104,18.04,0.8,,,A,,,,,,,,,,,,,,,,,,,Cruillas,Cruillas - S.Giovanni Apostolo,VI,226.9,599.59
AI038AI,ALB_839,Viale Michelangelo,28160,2917,17/11/2025,Greehill,8277,Pinus pinea,,38.13722587,13.32053026,12.4,0.65,,,A,,,,,,,,,,,,,,,,,,,Cruillas,Cruillas - S.Giovanni Apostolo,VI,171.7,453.73
AI039AI,ALB_840,Viale Michelangelo,28160,2917,17/11/2025,Greehill,8258,Platanus × hispanica,,38.13725286,13.32063991,11.92,0.29,,,C/D,,,,,,,,,,,,,,,,,,,Cruillas,Cruillas - S.Giovanni Apostolo,VI,50.97,134.69
AI040AI,ALB_841,Viale Michelangelo,28160,2917,17/11/2025,Greehill,8248,Platanus × hispanica,,38.13727458,13.32073723,13.2,0.38,,,C,,,,,,,,,,,,,,,,,,,Cruillas,Cruillas - S.Giovanni Apostolo,VI,89.39,236.21
