Odonimo,h (m),count
Via Pignatelli Aragona,12,47
Via Pignatelli Aragona,10,1
Via Delle Croci,12,51
Via Delle Croci,10,1
Viale Emilia,12,45
Viale Emilia,15,10
Viale Emilia,,5
Viale Emilia,10,3
Viale Emilia,16,1
Viale Emilia,8,1
