Odonimo,Specie,count,%,colore,larg
Via Delle Croci,Ficus microcarpa,52,100%,#194d30,0.2
Via Pignatelli Aragona,Ficus microcarpa,48,100%,#194d30,0.2
Via Rizzo Ammiraglio,Ficus microcarpa,97,84%,#194d30,0.8
Via Rizzo Ammiraglio,Schinus molle,8,7%,#2b5f41,0.8
Via Rizzo Ammiraglio,Ficus magnoloides,4,3%,#98cba7,0.8
Via Rizzo Ammiraglio,Ficus rubiginosa,3,3%,#508363,0.8
Via Rizzo Ammiraglio,Melia azadirach,2,2%,#86b996,0.8
Via Rizzo Ammiraglio,Celtis australis,2,2%,#86b996,0.8
Via Scoto Michele,Ficus microcarpa,28,100%,#86b996,0.8
Viale Dei Picciotti - A,Ficus microcarpa,31,100%,#86b996,0.8
Viale Dei Picciotti - B,Ficus microcarpa,33,97%,,0.8
Viale Dei Picciotti - B,Ficus rubiginosa,1,3%,,0.8
Viale Emilia,Ficus microcarpa,51,78%,,0.8
Viale Emilia,Robinia pseudoacacia,5,8%,,0.8
Viale Emilia,Brachychiton acerifolius ,3,5%,,
Viale Emilia,Sophora japonica,2,3%,,
Viale Emilia,Pinus halepensis,1,2%,,
Viale Emilia,Ficus benjamina,1,2%,,
Viale Emilia,Celtis australis,1,2%,,
Viale Emilia,Acer negundo,1,2%,,
Viale Michelangelo,,0,#DIV/0!,,
