Odonimo,Specie,count,%,colore,larg
Via Corazza Filippo,Melia azedarach,30,100%,#194d30,0.2
Via Delle Croci,Ficus microcarpa,52,100%,#194d30,0.2
Via Galatea,Populus Nigra,32,67%,#194d30,0.8
Via Galatea,Platanus hybrida,16,33%,#2b5f41,0.8
Via Giusti Giuseppe,Sophora japonica,127,96%,#98cba7,0.8
Via Giusti Giuseppe,Cercis siliquastrum,3,2%,#508363,0.8
Via Giusti Giuseppe,Citrus limon,1,1%,#86b996,0.8
Via Giusti Giuseppe,,1,1%,#86b996,0.8
Via Oreto,Populus nigra,86,74%,#86b996,0.8
Via Oreto,Brachychiton acerifolius,9,8%,#86b996,0.8
Via Oreto,Pittosporum tobira,3,3%,,0.8
Via Oreto,Ligustrum lucidum,3,3%,,0.8
Via Oreto,,3,3%,,0.8
Via Oreto,Yucca gigantea,2,2%,,0.8
Via Oreto,Ficus microcarpa,2,2%,,
Via Oreto,Ficus benjamina,2,2%,,
Via Oreto,Platycladus orientalis,1,1%,,
Via Oreto,Morus alba,1,1%,,
Via Oreto,Jacaranda mimosifolia,1,1%,,
Via Oreto,Ficus religiosa,1,1%,,
Via Oreto,Ficus elastica,1,1%,,
Via Oreto,Brachychiton discolor,1,1%,,
Via Pignatelli Aragona,Ficus microcarpa,48,100%,,
Via Principe Di Belmonte,Citrus × aurantium,52,53%,,
Via Principe Di Belmonte,Acer negundo,45,45%,,
Via Principe Di Belmonte,Vuoto,2,2%,,
Via Rapisardi Mario,Sophora japonica,59,98%,,
Via Rapisardi Mario,Pittosphorum,1,2%,,
Via Rizzo Ammiraglio - A,Ficus microcarpa,52,93%,,
Via Rizzo Ammiraglio - A,Ficus magnoloides,4,7%,,
Via Rizzo Ammiraglio - B,Ficus microcarpa,45,75%,,
Via Rizzo Ammiraglio - B,Schinus molle,8,13%,,
Via Rizzo Ammiraglio - B,Ficus rubiginosa,3,5%,,
Via Rizzo Ammiraglio - B,Melia azadirach,2,3%,,
Via Rizzo Ammiraglio - B,Celtis australis,2,3%,,
Via Scoto Michele,Ficus microcarpa,28,100%,,
Viale Dei Picciotti - A,Ficus microcarpa,31,100%,,
Viale Dei Picciotti - B,Ficus microcarpa,33,97%,,
Viale Dei Picciotti - B,Ficus rubiginosa,1,3%,,
Viale Emilia,Ficus microcarpa,51,78%,,
Viale Emilia,Robinia pseudoacacia,5,8%,,
Viale Emilia,Brachychiton acerifolius ,3,5%,,
Viale Emilia,Sophora japonica,2,3%,,
Viale Emilia,Pinus halepensis,1,2%,,
Viale Emilia,Ficus benjamina,1,2%,,
Viale Emilia,Celtis australis,1,2%,,
Viale Emilia,Acer negundo,1,2%,,
Viale Michelangelo,Tabebuia rosea,183,35%,,
Viale Michelangelo,Platanus Hybrida,171,33%,,
Viale Michelangelo,Platanus hispanica,57,11%,,
Viale Michelangelo,Celtis australis,45,9%,,
Viale Michelangelo,Schinus molle,14,3%,,
Viale Michelangelo,Citrus aurantium,12,2%,,
Viale Michelangelo,- -,10,2%,,
Viale Michelangelo,Cercis siliquastrum,3,1%,,
Viale Michelangelo,Washingtonia filifera,2,0%,,
Viale Michelangelo,Tamarix gallica,2,0%,,
Viale Michelangelo,Syzygium myrtifolium,2,0%,,
Viale Michelangelo,Robinia pseudoacacia,2,0%,,
Viale Michelangelo,Olea europaea,2,0%,,
Viale Michelangelo,Cupressus sempervirens,2,0%,,
Viale Michelangelo,Brachychiton populneus,2,0%,,
Viale Michelangelo,Strelitzia nicolai,1,0%,,
Viale Michelangelo,Platycladus orientalis,1,0%,,
Viale Michelangelo,Pinus pinea,1,0%,,
Viale Michelangelo,Pinus halepensis,1,0%,,
Viale Michelangelo,Nerium oleander,1,0%,,
Viale Michelangelo,Ligustrum lucidum,1,0%,,
Viale Michelangelo,Hesperocyparis arizonica,1,0%,,
Viale Michelangelo,Gleditsia triacanthos,1,0%,,
Viale Michelangelo,Ginkgo biloba,1,0%,,
Viale Michelangelo,Ficus benjamina,1,0%,,
Viale Michelangelo,Ceiba speciosa,1,0%,,
Viale Michelangelo,Brachychiton acerifolius,1,0%,,
Viale Principe Umberto,Pinus halepensis,62,97%,,
Viale Principe Umberto,Pinus canariensis,1,2%,,
Viale Principe Umberto,NON ESISTE,1,2%,,
Viale Regina Margherita di Savoia,Ficus Microcarpa,124,62%,,
Viale Regina Margherita di Savoia,Platanus X Acerifolia,49,25%,,
Viale Regina Margherita di Savoia,Platanus Hybrida,26,13%,,
