Odonimo,ID Pianta,Specie,h (m),Diametro (cm),CPC,tipo_foglia,# Primavera, # Estate,# Autunno,# Inverno
Viale Emilia,063,Robinia pseudoacacia,,15,B,decidua,0,0,0,0
Viale Emilia,064,Robinia pseudoacacia,,15,B,decidua,0,0,0,0
Viale Emilia,065,Pinus halepensis,16,64,D,sempreverde,2923,2983,2923,2834
Via Pignatelli Aragona,001,Ficus microcarpa,12,76,B,sempreverde,26107,26640,26107,25308
Via Pignatelli Aragona,002,Ficus microcarpa,12,52,B,sempreverde,15941,16266,15941,15453
Via Pignatelli Aragona,003,Ficus microcarpa,12,79,B,sempreverde,27455,28015,27455,26614
Via Pignatelli Aragona,004,Ficus microcarpa,12,53,D,sempreverde,9612,9808,9612,9318
Via Pignatelli Aragona,005,Ficus microcarpa,12,59,B,sempreverde,18785,19168,18785,18210
Via Pignatelli Aragona,006,Ficus microcarpa,12,65,B,sempreverde,21305,21740,21305,20653
Via Pignatelli Aragona,007,Ficus microcarpa,12,65,B,sempreverde,21305,21740,21305,20653
Via Pignatelli Aragona,008,Ficus microcarpa,12,63,C,sempreverde,16847,17191,16847,16331
Via Pignatelli Aragona,009,Ficus microcarpa,12,82,C,sempreverde,23732,24216,23732,23006
Via Pignatelli Aragona,010,Ficus microcarpa,12,77,B,sempreverde,26554,27096,26554,25742
Via Pignatelli Aragona,011,Ficus microcarpa,12,62,B,sempreverde,20036,20445,20036,19423
Via Pignatelli Aragona,012,Ficus microcarpa,12,49,C,sempreverde,12152,12400,12152,11780
Via Pignatelli Aragona,013,Ficus microcarpa,12,41,B,sempreverde,11704,11942,11704,11345
Via Pignatelli Aragona,014,Ficus microcarpa,12,38,C/D,sempreverde,3742,3819,3742,3628
Via Pignatelli Aragona,015,Ficus microcarpa,12,50,C/D,sempreverde,5346,5456,5346,5183
Via Pignatelli Aragona,016,Ficus microcarpa,12,48,C,sempreverde,11830,12072,11830,11468
Via Pignatelli Aragona,017,Ficus microcarpa,10,37,D,sempreverde,5113,5217,5113,4956
Via Pignatelli Aragona,018,Ficus microcarpa,12,45,D,sempreverde,7770,7929,7770,7532
Via Pignatelli Aragona,019,Ficus microcarpa,12,42,B,sempreverde,12076,12322,12076,11706
Via Pignatelli Aragona,020,Ficus microcarpa,12,35,B,sempreverde,9528,9722,9528,9236
Via Pignatelli Aragona,021,Ficus microcarpa,12,47,B,sempreverde,13977,14263,13977,13550
Via Pignatelli Aragona,022,Ficus microcarpa,12,65,B,sempreverde,21305,21740,21305,20653
Via Pignatelli Aragona,023,Ficus microcarpa,12,40,B,sempreverde,11334,11565,11334,10987
Via Pignatelli Aragona,024,Ficus microcarpa,12,49,B,sempreverde,14756,15057,14756,14304
Via Pignatelli Aragona,025,Ficus microcarpa,12,47,B,sempreverde,13977,14263,13977,13550
Via Pignatelli Aragona,026,Ficus microcarpa,12,50,C,sempreverde,12475,12730,12475,12093
Via Pignatelli Aragona,027,Ficus microcarpa,12,46,C/D,sempreverde,4797,4895,4797,4650
Via Pignatelli Aragona,028,Ficus microcarpa,12,65,B,sempreverde,21305,21740,21305,20653
Via Pignatelli Aragona,029,Ficus microcarpa,12,62,B,sempreverde,20036,20445,20036,19423
Via Pignatelli Aragona,030,Ficus microcarpa,12,68,B,sempreverde,22592,23053,22592,21901
Via Pignatelli Aragona,031,Ficus microcarpa,12,38,B,sempreverde,10603,10819,10603,10278
Via Pignatelli Aragona,032,Ficus microcarpa,12,58,D,sempreverde,10807,11028,10807,10476
Via Pignatelli Aragona,033,Ficus microcarpa,12,38,D,sempreverde,6237,6364,6237,6046
Via Pignatelli Aragona,034,Ficus microcarpa,12,41,B,sempreverde,11704,11942,11704,11345
Via Pignatelli Aragona,035,Ficus microcarpa,12,43,B,sempreverde,12451,12705,12451,12070
Via Pignatelli Aragona,036,Ficus microcarpa,12,52,B,sempreverde,15941,16266,15941,15453
Via Pignatelli Aragona,037,Ficus microcarpa,12,45,B,sempreverde,13209,13479,13209,12805
Via Pignatelli Aragona,038,Ficus microcarpa,12,55,B,sempreverde,17146,17496,17146,16621
Via Pignatelli Aragona,039,Ficus microcarpa,12,48,B,sempreverde,14365,14658,14365,13925
Via Pignatelli Aragona,040,Ficus microcarpa,12,36,B,sempreverde,9883,10085,9883,9581
Via Pignatelli Aragona,041,Ficus microcarpa,12,48,C,sempreverde,11830,12072,11830,11468
Via Pignatelli Aragona,042,Ficus microcarpa,12,52,C,sempreverde,13128,13395,13128,12726
Via Pignatelli Aragona,043,Ficus microcarpa,12,52,C,sempreverde,13128,13395,13128,12726
Via Pignatelli Aragona,044,Ficus microcarpa,12,78,B,sempreverde,27004,27555,27004,26177
Via Pignatelli Aragona,045,Ficus microcarpa,12,59,B,sempreverde,18785,19168,18785,18210
Via Pignatelli Aragona,046,Ficus microcarpa,12,65,B,sempreverde,21305,21740,21305,20653
Via Pignatelli Aragona,047,Ficus microcarpa,12,65,B,sempreverde,21305,21740,21305,20653
Via Pignatelli Aragona,048,Ficus microcarpa,12,103,B,sempreverde,38760,39551,38760,37574
Via Delle Croci,001,Ficus microcarpa,12,48,B,sempreverde,14365,14658,14365,13925
Via Delle Croci,002,Ficus microcarpa,12,48,B,sempreverde,14365,14658,14365,13925
Via Delle Croci,003,Ficus microcarpa,12,46,B,sempreverde,13592,13869,13592,13176
Via Delle Croci,004,Ficus microcarpa,12,42,B,sempreverde,12076,12322,12076,11706
Via Delle Croci,005,Ficus microcarpa,12,47,B,sempreverde,13977,14263,13977,13550
Via Delle Croci,006,Ficus microcarpa,12,45,B,sempreverde,13209,13479,13209,12805
Via Delle Croci,007,Ficus microcarpa,12,39,B,sempreverde,10967,11191,10967,10631
